Target,Target (Unofficial English translation generated by Artificial Intelligence),Country,Country ISO3,Provenance,Reference year,Expected year of achievement,Location,Location (Unofficial English translation generated by Artificial Intelligence),Total Target Area (km²),Type of LDN intervention,Restore/improve tree covered areas,Increase tree covered areas extent,Restore/improve croplands,Restore/improve grasslands,Restore/improve wetlands,Increase soil fertility and carbon stock,Manage artificial surfaces,Restore/improve protected areas,Increase protected areas,Improve coastal management,General instrument (e.g. policies/economic incentives),Restore/improve multiple land uses,Reduce/halt conversion of multiple land uses,Restore/improve multiple functions,Restore productivity and soc in croplands and grasslands,Other/general/unspecified,Level of achievement,Other important goals addressed by this target,Validation level,Geometry UID,Geometry type
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,6953.20,"Reduce
Reverse
",NA,"2 Increase tree-covered area extent
",NA,"4 Restore/improve grasslands
4.1 Restore and improve pastures
4.2 Restore rangeland
4.3 Improve land productivity in grasslands
",NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
6.3 Improve watershed/landscape management
",NA,NA,NA,NA,NA,NA,NA,NA,15 Restore productivity and soil organic carbon stock in croplands and grasslands,NA,ongoing,"Convention on Biological Diversity
",active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,497.60,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,662.80,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,328.50,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,613.30,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,394.50,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,207.90,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,321.20,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,318.90,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,327.10,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,772.50,"Reduce
Reverse
",NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
6.3 Improve watershed/landscape management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,240.80,"Reduce
Reverse
",NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
6.3 Improve watershed/landscape management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,373.60,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,836.80,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,399.30,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,421.70,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,554.50,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,NA,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,382.10,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,377.40,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,492.80,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,497.60,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,662.80,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,328.50,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,613.30,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,394.50,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,207.90,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,321.20,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,318.90,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,327.10,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,772.50,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,240.80,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,373.60,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,836.80,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,399.30,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,421.70,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,554.50,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,382.10,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,377.40,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,492.80,"Reduce
Reverse
",NA,NA,NA,NA,NA,"6 Increase soil fertility and carbon stock
6.1 Rehabilitate bare land and/or restore degraded land
6.2 Reduce soil erosion
6.3 Improve watershed/landscape management
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,NA,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,497.60,"Reduce
Reverse
",NA,NA,NA,NA,"5 Restore/improve wetlands
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,kf7sk-yn03t-zpoh1-pa22r,MultiPolygon
NA,NA,Lesotho,LSO,"Other: ()
",NA,NA,NA,NA,662.80,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ongoing,NA,active,b84gb-g5gxv-vm4xc-npi2f,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,328.50,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,8pq3n-diymh-syz06-rhb43,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,613.30,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,rv38u-4ftd8-kt6zg-5jc1m,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,394.50,"Reduce
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,lb9an-r4ym3-ip772-c3f8r,MultiPolygon
NA,NA,Lesotho,LSO,2022 reporting,NA,NA,NA,NA,207.90,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,qkhd5-pjowr-d92lj-imwxs,MultiPolygon
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,321.20,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,8xhnd-loh5b-ma33w-me56w,MultiPolygon
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,318.90,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,b8vpb-rsbrd-i0a5l-i4g51,MultiPolygon
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,327.10,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,8fz7s-e3vwg-ka7od-acxkn,MultiPolygon
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,772.50,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,0db2x-n13jh-lpdky-s6a43,MultiPolygon
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,240.80,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,opzsz-ab4k1-9fw4n-4ar74,MultiPolygon
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,373.60,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,0s13n-wsppm-fejpi-fz2b7,MultiPolygon
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,836.80,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,ojyhx-5b9ix-vwm5b-uub8e,MultiPolygon
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,399.30,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,aqs90-893s1-0hvj5-ixzlu,MultiPolygon
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,421.70,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,syy0u-obg20-q2rs5-snjnd,MultiPolygon
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,554.50,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,iu1we-6gdjg-dxvzv-yc8sf,MultiPolygon
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,382.10,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,txat0-pb8rl-dnycy-6x820,MultiPolygon
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,377.40,"Avoid
Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,af6pc-s0s2t-g0zwo-5ssus,MultiPolygon
NA,NA,Lesotho,LSO,Participation in the LDN Target Setting Programme,NA,NA,NA,NA,492.80,"Reduce
Reverse
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,achieved,NA,active,8bu3x-bo243-diyn6-9bmfb,MultiPolygon
